application,citation,type
KR20130037741A,,NO_FWD
KR20130037741A,CN111497648B,BWD
KR20130037741A,CN111497648A,BWD
KR20110050208A,KR970010201A,FWD
KR20110050208A,JP2004291863A,FWD
KR20110050208A,KR20060115245A,FWD
KR20110050208A,JP2010260474A,FWD
KR20110050208A,,NO_BWD
KR20100096846A,JP2007135335A,FWD
KR20100096846A,KR20200002786U,BWD
KR20140019064A,,NO_FWD
KR20140019064A,KR102199437B1,BWD
KR20140019064A,KR20180104561A,BWD
KR20140019064A,KR20200129623A,BWD
KR20120125243A,JP2010110173A,FWD
KR20120125243A,KR20100130452A,FWD
KR20120125243A,KR20110110997A,FWD
KR20120125243A,KR20120070651A,FWD
KR20120125243A,,NO_BWD
KR20100009821A,JP2000209707A,FWD
KR20100009821A,JP2001359203A,FWD
KR20100009821A,JP2003125503A,FWD
KR20100009821A,US20080040295A1,FWD
KR20100009821A,KR20200016438A,BWD
KR20090127589A,,NO_FWD
KR20090127589A,CN105083060B,BWD
KR20090127589A,CN105083060A,BWD
KR20120023030A,JP2006240368A,FWD
KR20120023030A,JP2008249588A,FWD
KR20120023030A,JP2010149833A,FWD
KR20120023030A,KR20110100702A,FWD
KR20120023030A,WO2021091001A1,BWD
